time,push,resist,retreat,tube test
34.333,0,0,0,1
34.366,0,0,0,1
34.399,0,0,0,1
34.432,0,0,0,1
34.465,0,0,0,1
34.498,0,0,0,1
34.531,0,0,0,1
34.564,0,0,0,1
34.597,0,0,0,1
34.63,0,0,0,1
34.663,0,0,0,1
34.696,0,0,0,1
34.729,0,0,0,1
34.762,0,0,0,1
34.795,0,0,0,1
34.828,0,0,0,1
34.861,0,0,0,1
34.894,0,0,0,1
34.927,0,0,0,1
34.96,0,0,0,1
34.993,0,0,0,1
35.026,0,0,0,1
35.059,0,0,0,1
35.092,0,0,0,1
35.125,0,0,0,1
35.158,0,0,0,1
35.191,0,0,0,1
35.224,0,0,0,1
35.257,0,0,0,1
35.29,0,0,0,1
35.323,0,0,0,1
35.356,0,0,0,1
35.389,0,0,0,1
35.422,0,0,0,1
35.455,0,0,0,1
35.488,0,0,0,1
35.521,0,0,0,1
35.554,0,0,0,1
35.587,0,0,0,1
35.62,0,0,0,1
35.653,0,0,0,1
35.686,0,0,0,1
35.719,0,0,0,1
35.752,0,0,0,1
35.785,0,0,0,1
35.818,0,0,0,1
35.851,0,0,0,1
35.884,0,0,0,1
35.917,0,0,0,1
35.95,0,0,0,1
35.983,0,0,0,1
36.016,0,0,0,1
36.049,0,0,0,1
36.082,0,0,0,1
36.115,0,0,0,1
36.148,0,0,0,1
36.181,0,0,0,1
36.214,0,0,0,1
36.247,0,0,0,1
36.28,0,0,0,1
36.313,0,0,0,1
36.346,0,0,0,1
36.379,0,0,0,1
36.412,0,0,0,1
36.445,0,0,0,1
36.478,0,0,0,1
36.511,0,0,0,1
36.544,0,0,0,1
36.577,0,0,0,1
36.61,0,0,0,1
36.643,0,0,0,1
36.676,0,0,0,1
36.709,0,0,0,1
36.742,0,0,0,1
36.775,0,0,0,1
36.808,0,0,0,1
36.841,0,0,0,1
36.874,0,0,0,1
36.907,0,0,0,1
36.94,0,0,0,1
36.973,0,0,0,1
37.006,0,0,0,1
37.039,0,0,0,1
37.072,0,0,0,1
37.105,0,0,0,1
37.138,0,0,0,1
37.171,0,0,0,1
37.204,0,0,0,1
37.237,0,0,0,1
37.27,0,0,0,1
37.303,0,0,0,1
37.336,0,0,0,1
37.369,0,0,0,1
37.402,0,0,0,1
37.435,0,0,0,1
37.468,0,0,0,1
37.501,0,0,0,1
37.534,0,0,0,1
37.567,0,0,0,1
37.6,0,0,0,1
37.633,0,0,0,1
37.666,0,0,0,1
37.699,0,0,0,1
37.732,0,0,0,1
37.765,0,0,0,1
37.798,0,0,0,1
37.831,0,0,0,1
37.864,0,0,0,1
37.897,0,0,0,1
37.93,0,0,0,1
37.963,0,0,0,1
37.996,0,0,0,1
38.029,0,0,0,1
38.062,0,0,0,1
38.095,0,0,0,1
38.128,0,0,0,1
38.161,0,0,0,1
38.194,0,0,0,1
38.227,0,0,0,1
38.26,0,0,0,1
38.293,0,0,0,1
38.326,0,0,0,1
38.359,0,0,0,1
38.392,0,0,0,1
38.425,0,0,0,1
38.458,0,0,0,1
38.491,0,0,0,1
38.524,0,0,0,1
38.557,0,0,0,1
38.59,0,0,0,1
38.623,0,0,0,1
38.656,0,0,0,1
38.689,0,0,0,1
38.722,0,0,0,1
38.755,0,0,0,1
38.788,0,0,0,1
38.821,0,0,0,1
38.854,0,0,0,1
38.887,0,0,0,1
38.92,0,0,0,1
38.953,0,0,0,1
38.986,0,0,0,1
39.019,0,0,0,1
39.052,0,0,0,1
39.085,0,0,0,1
39.118,0,0,0,1
39.151,0,0,0,1
39.184,0,0,0,1
39.217,0,0,0,1
39.25,0,0,0,1
39.283,0,0,0,1
39.316,0,0,0,1
39.349,0,0,0,1
39.382,0,0,0,1
39.415,0,0,0,1
39.448,0,0,0,1
39.481,0,0,0,1
39.514,0,0,0,1
39.547,0,0,0,1
39.58,0,0,0,1
39.613,0,0,0,1
39.646,0,0,0,1
39.679,0,0,0,1
39.712,0,0,0,1
39.745,0,0,0,1
39.778,0,0,0,1
39.811,0,0,0,1
39.844,0,0,0,1
39.877,0,0,0,1
39.91,0,0,0,1
39.943,0,0,0,1
39.976,0,0,0,1
40.009,0,0,0,1
40.042,0,0,0,1
40.075,0,0,0,1
40.108,0,0,0,1
40.141,0,0,0,1
40.174,0,0,0,1
40.207,0,0,0,1
40.24,0,0,0,1
40.273,0,0,0,1
40.306,0,0,0,1
40.339,0,0,0,1
40.372,0,0,0,1
40.405,0,0,0,1
40.438,0,0,0,1
40.471,0,0,0,1
40.504,0,0,0,1
40.537,0,0,0,1
40.57,0,0,0,1
40.603,0,0,0,1
40.636,0,0,0,1
40.669,0,0,0,1
40.702,0,0,0,1
40.735,0,0,0,1
40.768,0,0,0,1
40.801,0,0,0,1
40.834,0,0,0,1
40.867,0,0,0,1
40.9,0,0,0,1
40.933,0,0,0,1
40.966,0,0,0,1
40.999,0,0,0,1
41.032,0,0,0,1
41.065,0,0,0,1
41.098,0,0,0,1
41.131,0,0,0,1
41.164,0,0,0,1
41.197,0,0,0,1
41.23,0,0,0,1
41.263,0,0,0,1
41.296,0,0,0,1
41.329,0,0,0,1
41.362,0,0,0,1
41.395,0,0,0,1
41.428,0,0,0,1
41.461,0,0,0,1
41.494,0,0,0,1
41.527,0,0,0,1
41.56,0,0,0,1
41.593,0,0,0,1
41.626,0,0,0,1
41.659,0,0,0,1
41.692,0,0,0,1
41.725,0,0,0,1
41.758,0,0,0,1
41.791,0,0,0,1
41.824,0,0,0,1
41.857,0,0,0,1
41.89,0,0,0,1
41.923,0,0,0,1
41.956,0,0,0,1
41.989,0,0,0,1
42.022,0,0,0,1
42.055,0,0,0,1
42.088,0,0,0,1
42.121,0,0,0,1
42.154,0,0,0,1
42.187,0,0,0,1
42.22,0,0,0,1
42.253,0,0,0,1
42.286,0,0,0,1
42.319,0,0,0,1
42.352,0,0,0,1
42.385,0,0,0,1
42.418,0,0,0,1
42.451,0,0,0,1
42.484,0,0,0,1
42.517,0,0,0,1
42.55,0,0,0,1
42.583,0,0,0,1
42.616,0,0,0,1
42.649,0,0,0,1
42.682,0,0,0,1
42.715,0,0,0,1
42.748,0,0,0,1
42.781,0,0,0,1
42.814,0,0,0,1
42.847,0,0,0,1
42.88,0,0,0,1
42.913,0,0,0,1
42.946,0,0,0,1
42.979,0,0,0,1
43.012,0,0,0,1
43.045,0,0,0,1
43.078,0,0,0,1
43.111,0,0,0,1
43.144,0,0,0,1
43.177,0,0,0,1
43.21,0,0,0,1
43.243,0,0,0,1
43.276,0,0,0,1
43.309,0,0,0,1
43.342,0,0,0,1
43.375,0,0,0,1
43.408,0,0,0,1
43.441,0,0,0,1
43.474,0,0,0,1
43.507,0,0,0,1
43.54,0,0,0,1
43.573,0,0,0,1
43.606,0,0,0,1
43.639,0,0,0,1
43.672,0,0,0,1
43.705,0,0,0,1
43.738,0,0,0,1
43.771,0,0,0,1
43.804,0,0,0,1
43.837,0,0,0,1
43.87,0,0,0,1
43.903,0,0,0,1
43.936,0,0,0,1
43.969,0,0,0,1
44.002,0,0,0,1
44.035,0,0,0,1
44.068,0,0,0,1
44.101,0,0,0,1
44.134,0,0,0,1
44.167,0,0,0,1
44.2,0,0,0,1
44.233,0,0,0,1
44.266,0,0,0,1
44.299,0,0,0,1
44.332,0,0,0,1
44.365,0,0,0,1
44.398,0,0,0,1
44.431,0,0,0,1
44.464,0,0,0,1
44.497,0,0,0,1
44.53,0,0,0,1
44.563,0,0,0,1
44.596,0,0,0,1
44.629,0,0,0,1
44.662,0,0,0,1
44.695,0,0,0,1
44.728,0,0,0,1
44.761,0,0,0,1
44.794,0,0,0,1
44.827,0,0,0,1
44.86,0,0,0,1
44.893,0,0,0,1
44.926,0,0,0,1
44.959,0,0,0,1
44.992,0,0,0,1
45.025,0,0,0,1
45.058,0,0,0,1
45.091,0,0,0,1
45.124,0,0,0,1
45.157,0,0,0,1
45.19,0,0,0,1
45.223,0,0,0,1
45.256,0,0,0,1
45.289,0,0,0,1
45.322,0,0,0,1
45.355,0,0,0,1
45.388,0,0,0,1
45.421,0,0,0,1
45.454,0,0,0,1
45.487,0,0,0,1
45.52,0,0,0,1
45.553,0,0,0,1
45.586,0,0,0,1
45.619,0,0,0,1
45.652,0,0,0,1
45.685,0,0,0,1
45.718,0,0,0,0
45.751,0,0,0,0
45.784,0,0,0,0
45.817,0,0,0,0
45.85,0,0,0,0
45.883,0,0,0,0
45.916,0,0,0,0
45.949,0,0,0,0
45.982,0,0,0,0
46.015,0,0,0,0
46.048,0,0,0,0
46.081,0,0,0,0
46.114,0,0,0,0
46.147,0,0,0,0
46.18,0,0,0,0
46.213,0,0,0,0
46.246,0,0,0,0
46.279,0,0,0,0
46.312,0,0,0,0
46.345,0,0,0,0
46.378,0,0,0,0
46.411,0,0,0,0
46.444,0,0,0,0
46.477,0,0,0,0
46.51,0,0,0,0
46.543,0,0,0,0
46.576,0,0,0,0
46.609,0,0,0,0
46.642,0,0,0,0
46.675,0,0,0,0
46.708,0,0,0,0
46.741,0,0,0,0
46.774,0,0,0,0
46.807,0,0,0,0
46.84,0,0,0,0
46.873,0,0,0,0
46.906,0,0,0,0
46.939,0,0,0,0
46.972,0,0,0,0
47.005,0,0,0,0
47.038,0,0,0,0
47.071,0,0,0,0
47.104,0,0,0,0
47.137,0,0,0,0
47.17,0,0,0,0
47.203,0,0,0,0
47.236,0,0,0,0
47.269,0,0,0,0
47.302,0,0,0,0
47.335,0,0,0,0
47.368,0,0,0,0
47.401,0,0,0,0
47.434,0,0,0,0
47.467,0,0,0,0
47.5,0,0,0,0
47.533,0,0,0,0
47.566,0,0,0,0
47.599,0,0,0,0
47.632,0,0,0,0
47.665,0,0,0,0
47.698,0,0,0,0
47.731,0,0,0,0
47.764,0,0,0,0
47.797,0,0,0,0
