time,push,resist,retreat,tube test
6.033,0,0,0,0
6.066,0,0,0,0
6.099,0,0,0,0
6.132,0,0,0,0
6.165,0,0,0,0
6.198,0,0,0,0
6.231,0,0,0,0
6.264,0,0,0,0
6.297,0,0,0,0
6.33,0,0,0,0
6.363,0,0,0,0
6.396,0,0,0,0
6.429,0,0,0,0
6.462,0,0,0,0
6.495,0,0,0,0
6.528,0,0,0,0
6.561,0,0,0,0
6.594,0,0,0,0
6.627,0,0,0,0
6.66,0,0,0,0
6.693,0,0,0,0
6.726,0,0,0,0
6.759,0,0,0,0
6.792,0,0,0,0
6.825,0,0,0,0
6.858,0,0,0,0
6.891,0,0,0,0
6.924,0,0,0,0
6.957,0,0,0,0
6.99,0,0,0,0
7.023,0,0,0,0
7.056,0,0,0,0
7.089,0,0,0,0
7.122,0,0,0,0
7.155,0,0,0,0
7.188,0,0,0,0
7.221,0,0,0,0
7.254,0,0,0,0
7.287,0,0,0,0
7.32,0,0,0,0
7.353,0,0,0,0
7.386,0,0,0,0
7.419,0,0,0,0
7.452,0,0,0,0
7.485,0,0,0,0
7.518,0,0,0,0
7.551,0,0,0,0
7.584,0,0,0,0
7.617,0,0,0,0
7.65,0,0,0,0
7.683,0,0,0,0
7.716,0,0,0,0
7.749,0,0,0,0
7.782,0,0,0,0
7.815,0,0,0,0
7.848,0,0,0,0
7.881,0,0,0,0
7.914,0,0,0,0
7.947,0,0,0,0
7.98,0,0,0,0
8.013,0,0,0,0
8.046,0,0,0,0
8.079,0,0,0,0
8.112,0,0,0,0
8.145,0,0,0,0
8.178,0,0,0,0
8.211,0,0,0,0
8.244,0,0,0,0
8.277,0,0,0,0
8.31,0,0,0,0
8.343,0,0,0,0
8.376,0,0,0,0
8.409,0,0,0,0
8.442,0,0,0,0
8.475,0,0,0,0
8.508,0,0,0,0
8.541,0,0,0,0
8.574,0,0,0,0
8.607,0,0,0,0
8.64,0,0,0,0
8.673,0,0,0,0
8.706,0,0,0,0
8.739,0,0,0,0
8.772,0,0,0,0
8.805,0,0,0,0
8.838,0,0,0,0
8.871,0,0,0,0
8.904,0,0,0,0
8.937,0,0,0,0
8.97,0,0,0,0
9.003,0,0,0,0
