time,push,resist,retreat,tube test
32.7,0,0,0,1
32.733,0,0,0,1
32.766,0,0,0,1
32.799,0,0,0,1
32.832,0,0,0,1
32.865,0,0,0,1
32.898,0,0,0,1
32.931,0,0,0,1
32.964,0,0,0,1
32.997,0,0,0,1
33.03,0,0,0,1
33.063,0,0,0,1
33.096,0,0,0,1
33.129,0,0,0,1
33.162,0,0,0,1
33.195,0,0,0,1
33.228,0,0,0,1
33.261,0,0,0,1
33.294,0,0,0,1
33.327,0,0,0,1
33.36,0,0,0,1
33.393,0,0,0,1
33.426,0,0,0,1
33.459,0,0,0,1
33.492,0,0,0,1
33.525,0,0,0,1
33.558,0,0,0,1
33.591,0,0,0,1
33.624,0,0,0,1
33.657,0,0,0,1
33.69,0,0,0,1
33.723,0,0,0,1
33.756,0,0,0,1
33.789,0,0,0,1
33.822,0,0,0,1
33.855,0,0,0,1
33.888,0,0,0,1
33.921,0,0,0,1
33.954,0,0,0,1
33.987,0,0,0,1
34.02,0,0,0,1
34.053,0,0,0,1
34.086,0,0,0,1
34.119,0,0,0,1
34.152,0,0,0,1
34.185,0,0,0,1
34.218,0,0,0,1
34.251,0,0,0,1
34.284,0,0,0,1
34.317,0,0,0,1
34.35,0,0,0,1
34.383,0,0,0,1
34.416,0,0,0,1
34.449,0,0,0,1
34.482,0,0,0,1
34.515,0,0,0,1
34.548,0,0,0,1
34.581,0,0,0,1
34.614,0,0,0,1
34.647,0,0,0,1
34.68,0,0,0,1
34.713,0,0,0,1
34.746,0,0,0,1
34.779,0,0,0,1
34.812,0,0,0,1
34.845,0,0,0,1
34.878,0,0,0,1
34.911,0,0,0,1
34.944,0,0,0,1
34.977,0,0,0,1
35.01,0,0,0,1
35.043,0,0,0,1
35.076,0,0,0,1
35.109,0,0,0,1
35.142,0,0,0,1
35.175,0,0,0,1
35.208,0,0,0,1
35.241,0,0,0,1
35.274,0,0,0,1
35.307,0,0,0,1
35.34,0,0,0,1
35.373,0,0,0,1
35.406,0,0,0,1
35.439,0,0,0,1
35.472,0,0,0,1
35.505,0,0,0,1
35.538,0,0,0,1
35.571,0,0,0,1
35.604,0,0,0,1
35.637,0,0,0,1
35.67,0,0,0,1
35.703,0,0,0,1
35.736,0,0,0,1
35.769,0,0,0,1
35.802,0,0,0,1
35.835,0,0,0,1
35.868,0,0,0,1
35.901,0,0,0,1
35.934,0,0,0,1
35.967,0,0,0,1
36.0,0,0,0,1
36.033,0,0,0,1
36.066,0,0,0,1
36.099,0,0,0,1
36.132,0,0,0,1
36.165,0,0,0,1
36.198,0,0,0,1
36.231,0,0,0,1
36.264,0,0,0,1
36.297,0,0,0,1
36.33,0,0,0,1
36.363,0,0,0,1
36.396,0,0,0,1
36.429,0,0,0,1
36.462,0,0,0,1
36.495,0,0,0,1
36.528,0,0,0,1
36.561,0,0,0,1
36.594,0,0,0,1
36.627,0,0,0,1
36.66,0,0,0,1
36.693,0,0,0,1
36.726,0,0,0,1
36.759,0,0,0,1
36.792,0,0,0,1
36.825,0,0,0,1
36.858,0,0,0,1
36.891,0,0,0,1
36.924,0,0,0,1
36.957,0,0,0,1
36.99,0,0,0,1
37.023,0,0,0,1
37.056,0,0,0,1
37.089,0,0,0,1
37.122,0,0,0,1
37.155,0,0,0,1
37.188,0,0,0,1
37.221,0,0,0,1
37.254,0,0,0,1
37.287,0,0,0,1
37.32,0,0,0,1
37.353,0,0,0,1
37.386,0,0,0,1
37.419,0,0,0,1
37.452,0,0,0,1
37.485,0,0,0,1
37.518,0,0,0,1
37.551,0,0,0,1
37.584,0,0,0,1
37.617,0,0,0,1
37.65,0,0,0,1
37.683,0,0,0,1
37.716,0,0,0,1
37.749,0,0,0,1
37.782,0,0,0,1
37.815,0,0,0,1
37.848,0,0,0,1
37.881,0,0,0,1
37.914,0,0,0,1
37.947,0,0,0,1
37.98,0,0,0,1
38.013,0,0,0,1
38.046,0,0,0,0
38.079,0,0,0,0
38.112,0,0,0,0
38.145,0,0,0,0
38.178,0,0,0,0
38.211,0,0,0,0
38.244,0,0,0,0
38.277,0,0,0,0
38.31,0,0,0,0
38.343,0,0,0,0
38.376,0,0,0,0
38.409,0,0,0,0
38.442,0,0,0,0
