time,push,resist,retreat,tube test
9.867,0,0,0,1
9.9,0,0,0,1
9.933,0,0,0,1
9.966,0,0,0,1
9.999,0,0,0,1
10.032,0,0,0,1
10.065,0,0,0,1
10.098,0,0,0,1
10.131,0,0,0,1
10.164,0,0,0,1
10.197,0,0,0,1
10.23,0,0,0,1
10.263,0,0,0,1
10.296,0,0,0,1
10.329,0,0,0,1
10.362,0,0,0,1
10.395,0,0,0,1
10.428,0,0,0,1
10.461,0,0,0,1
10.494,0,0,0,1
10.527,0,0,0,1
10.56,0,0,0,1
10.593,0,0,0,1
10.626,0,0,0,1
10.659,0,0,0,1
10.692,0,0,0,1
10.725,0,0,0,1
10.758,0,0,0,1
10.791,0,0,0,1
10.824,0,0,0,1
10.857,0,0,0,1
10.89,0,0,0,1
10.923,0,0,0,1
10.956,0,0,0,1
10.989,0,0,0,1
11.022,0,0,0,1
11.055,0,0,0,1
11.088,0,0,0,1
11.121,0,0,0,1
11.154,0,0,0,1
11.187,0,0,0,1
11.22,0,0,0,1
11.253,0,0,0,1
11.286,0,0,0,1
11.319,0,0,0,1
11.352,0,0,0,1
11.385,0,0,0,1
11.418,0,0,0,1
11.451,0,0,0,1
11.484,0,0,0,1
11.517,0,0,0,1
11.55,0,0,0,1
11.583,0,0,0,1
11.616,0,0,0,1
11.649,0,0,0,1
11.682,0,0,0,1
11.715,0,0,0,1
11.748,0,0,0,1
11.781,0,0,0,1
11.814,0,0,0,1
11.847,0,0,0,1
11.88,0,0,0,1
11.913,0,0,0,1
11.946,0,0,0,1
11.979,0,0,0,1
12.012,0,0,0,1
12.045,0,0,0,1
12.078,0,0,0,1
12.111,0,0,0,1
12.144,0,0,0,1
12.177,0,0,0,1
12.21,0,0,0,1
12.243,0,0,0,1
12.276,0,0,0,1
12.309,0,0,0,1
12.342,0,0,0,1
12.375,0,0,0,1
12.408,0,0,0,1
12.441,0,0,0,1
12.474,0,0,0,1
12.507,0,0,0,1
12.54,0,0,0,1
12.573,0,0,0,1
12.606,0,0,0,1
12.639,0,0,0,1
12.672,0,0,0,1
12.705,0,0,0,1
12.738,0,0,0,1
12.771,0,0,0,1
12.804,0,0,0,1
12.837,0,0,0,1
12.87,0,0,0,1
12.903,0,0,0,1
12.936,0,0,0,1
12.969,0,0,0,1
13.002,0,0,0,1
13.035,0,0,0,1
13.068,0,0,0,1
13.101,0,0,0,1
13.134,0,0,0,1
13.167,0,0,0,1
13.2,0,0,0,1
13.233,0,0,0,1
13.266,0,0,0,1
13.299,0,0,0,1
13.332,0,0,0,1
13.365,0,0,0,1
13.398,0,0,0,1
13.431,0,0,0,1
13.464,0,0,0,1
13.497,0,0,0,1
13.53,0,0,0,1
13.563,0,0,0,1
13.596,0,0,0,1
13.629,0,0,0,1
13.662,0,0,0,1
13.695,0,0,0,1
13.728,0,0,0,1
13.761,0,0,0,1
13.794,0,0,0,1
13.827,0,0,0,1
13.86,0,0,0,1
13.893,0,0,0,1
13.926,0,0,0,1
13.959,0,0,0,1
13.992,0,0,0,1
14.025,0,0,0,1
14.058,0,0,0,1
